trial_number,l1_smooth,dropout_rate,lr_max,n_epoch,num_layers,num_resblocks,num_units_layer_0,num_units_layer_1,num_units_layer_2,num_units_layer_3,num_units_layer_4,use_batchnorm,use_dropout,use_resblocks,mae,mse,rmse,state
102,0.06712498515844345,0.6916302285031432,0.005232041916262318,249,2,,253,22.0,,,,True,False,False,0.2441369742155075,0.1417296826839447,0.37646999955177307,COMPLETE
103,0.06524242460727692,0.6579915676287096,0.009769279666967962,250,2,,232,24.0,,,,True,False,False,0.24361306428909302,0.13802960515022278,0.37152335047721863,COMPLETE
104,0.061800312250852585,0.6561551068192579,0.008905334168858425,254,2,,223,17.0,,,,True,False,False,0.2376064658164978,0.127049058675766,0.35643941164016724,COMPLETE
105,0.06093438342213631,0.6650125747380076,0.009831290475209174,224,2,,224,17.0,,,,True,False,False,0.23752054572105408,0.1283850371837616,0.3583085834980011,COMPLETE
106,0.06514881551265717,0.6042457518559768,0.008448709355527072,220,2,,221,17.0,,,,True,False,False,0.2458365559577942,0.13802863657474518,0.37152206897735596,COMPLETE
107,0.36098185181617737,0.6665015562276778,1.3794700224362347e-05,51,2,,255,17.0,,,,True,False,False,0.7246872782707214,0.8308145999908447,0.911490261554718,COMPLETE
108,0.06645290553569794,0.6473900897615789,0.00998576588702181,171,2,,214,20.0,,,,True,False,False,0.24729017913341522,0.14093226194381714,0.37540942430496216,COMPLETE
109,0.07092323154211044,0.6372661505804674,0.005027338041478967,223,2,,238,18.0,,,,True,False,False,0.2528700530529022,0.15068840980529785,0.3881860375404358,COMPLETE
110,0.15362392365932465,0.6820880842336836,0.008586196240676199,12,1,,220,,,,,True,False,False,0.45658549666404724,0.3194313645362854,0.5651825666427612,COMPLETE
111,0.06595513969659805,0.6089118121517918,0.008460206749906352,202,2,,256,17.0,,,,True,False,False,0.24306397140026093,0.13821303844451904,0.37177014350891113,COMPLETE
112,0.06338375061750412,0.6333849439302628,0.008273128997128601,218,2,,221,16.0,,,,True,False,False,0.24093903601169586,0.13138747215270996,0.36247408390045166,COMPLETE
113,0.06779750436544418,0.627443122438839,0.005576445476563239,259,3,,201,16.0,18.0,,,True,False,False,0.24771761894226074,0.143195241689682,0.3784114420413971,COMPLETE
114,0.08946637064218521,0.7004370107928545,0.004162071045212634,68,2,,238,20.0,,,,True,False,False,0.3013857305049896,0.19361186027526855,0.4400135278701782,COMPLETE
115,0.06557559967041016,0.674402743845836,0.006706512632756593,187,2,,217,22.0,,,,True,False,False,0.23938241600990295,0.1412516087293625,0.37583452463150024,COMPLETE
116,0.0684497132897377,0.6543524870109524,0.008632100117282118,161,2,,244,18.0,,,,True,False,False,0.2520889341831207,0.14423823356628418,0.3797870874404907,COMPLETE
117,0.06704588234424591,0.7397082110688635,0.005646148672082548,232,2,,224,21.0,,,,True,False,False,0.2496766895055771,0.1401790976524353,0.37440499663352966,COMPLETE
118,0.06447740644216537,0.6883361507429497,0.007138889277252214,262,2,,201,23.0,,,,True,False,False,0.2495202273130417,0.13450756669044495,0.3667527139186859,COMPLETE
119,0.07096836715936661,0.5842615246388321,0.004747667024479589,218,2,,212,25.0,,,,True,False,False,0.24980205297470093,0.15026049315929413,0.38763442635536194,COMPLETE
120,0.31715452671051025,0.6225386235675312,0.008202494292605918,178,2,4.0,235,29.0,,,,True,True,True,0.6739562153816223,0.6893190145492554,0.8302523493766785,COMPLETE
121,0.06350374966859818,0.689200483151739,0.009972928643748252,262,2,,200,23.0,,,,True,False,False,0.24016547203063965,0.13146968185901642,0.36258748173713684,COMPLETE
122,0.06617791205644608,0.7085690613737856,0.009688111817768009,239,2,,253,23.0,,,,True,False,False,0.2471998631954193,0.13844648003578186,0.37208396196365356,COMPLETE
123,0.06765016168355942,0.663082532980488,0.006397172302726449,260,2,,182,20.0,,,,True,False,False,0.24671682715415955,0.14338260889053345,0.3786589503288269,COMPLETE
124,0.06323642283678055,0.6375094225660731,0.00994986417009552,275,2,,228,18.0,,,,True,False,False,0.23982079327106476,0.13232506811618805,0.3637651205062866,COMPLETE
125,0.09051667153835297,0.6382411549227681,0.0003732192804653594,280,2,,191,16.0,,,,True,False,False,0.29969432950019836,0.19762739539146423,0.444553017616272,COMPLETE
126,0.0733625590801239,0.595160092390473,0.007349863597248579,226,1,,232,,,,,True,False,False,0.2626661956310272,0.15362636744976044,0.3919520080089569,COMPLETE
127,0.06387941539287567,0.6554938903255332,0.009936714238443441,281,2,,212,18.0,,,,True,False,False,0.24201025068759918,0.13216204941272736,0.36354097723960876,COMPLETE
