trial_number,state,iterations,learning_rate,depth,l2_leaf_reg,mse,rmse,mae
188,COMPLETE,956,0.0824356693023344,4,2.4042337682527975e-05,0.09180134770497538,0.30298737218731636,0.1653047300253771
189,COMPLETE,912,0.02636065243429654,4,0.00011979369406720274,0.09171088753354661,0.3028380549626262,0.18036497162723236
190,COMPLETE,978,0.11793976409551364,4,1.242088645942267e-05,0.0797742214204258,0.28244330655978694,0.16028050667075613
191,COMPLETE,869,0.10576591512072607,4,1.7722804947693076e-05,0.08864379862326423,0.2977310844088407,0.17262077956483968
192,COMPLETE,933,0.11124020662260031,4,3.203423436679384e-05,0.07524194073781142,0.27430264442365737,0.16021397382538602
193,COMPLETE,940,0.09771794996878608,4,3.55884569713562e-05,0.09040074768108554,0.3006671709400372,0.165767843916937
194,COMPLETE,901,0.12374482163385334,4,2.5654891848999188e-05,0.08423813856124521,0.29023807221183995,0.16606538003227087
195,COMPLETE,934,0.08927848376270474,4,4.624386278626376e-05,0.0788243950978871,0.28075682555885817,0.16117908557363647
196,COMPLETE,960,0.08655867594657275,4,4.682898023205846e-05,0.08881605316958258,0.2980202227527229,0.16814646016729026
197,COMPLETE,887,0.07767782947027976,4,7.331542685733928e-06,0.08726303472729721,0.29540317318420467,0.16981882749792257
198,COMPLETE,980,0.09057431454971095,4,2.1155587562698856e-05,0.08720743286590053,0.29530904636651506,0.16670973953083054
199,COMPLETE,930,0.11247971513554778,4,6.61665882326872e-05,0.08568796280257207,0.29272506350255023,0.1703041056968361
200,COMPLETE,993,0.09459476879941692,4,1.3522788574024441e-05,0.08007294436678429,0.282971631735028,0.16370857874768402
201,COMPLETE,922,0.100910267400307,4,2.9670112815744663e-05,0.07829535356261881,0.27981306896322555,0.16668271066340087
202,COMPLETE,949,0.10303655860675204,4,0.00010203929535637056,0.08275110986749278,0.2876649263770138,0.1698138197851115
203,COMPLETE,908,0.11879077120842746,4,3.3831214351148466e-05,0.0849354693722602,0.29143690461617966,0.16672064576278683
204,COMPLETE,964,0.10743399135404819,4,4.260937775892905e-05,0.08447164969912872,0.29064006898417966,0.16803711394125298
205,COMPLETE,922,0.09767018520814644,4,1.593233194194398e-05,0.08135157168249531,0.28522196914420056,0.16540344125124065
206,COMPLETE,884,0.12554347142598335,4,9.8592312932823e-06,0.08304959644216023,0.28818326884494916,0.16870127777335195
207,COMPLETE,936,0.11342769044335636,4,2.3880717583106452e-05,0.08291652303991974,0.28795229299298825,0.16516849152554489
